,feature1,feature2,feature3
0,0.2896890289586955,0.28184856983504497,0.0861283237195608
1,0.5995471716179047,0.536727266032311,0.36223335231372794
2,0.5197639007692548,0.4775177695943542,0.278137780616279
3,0.3908010930536723,0.3720506379131954,0.15865045124226015
4,0.9317318736480537,0.731400330793597,0.875369602132969
5,0.13021474846538872,0.12948373745864844,0.018728175850557444
6,0.8844936978876661,0.7086633972826661,0.7914679402811743
7,0.1686046168997951,0.16702490716586502,0.03690102105660054
8,0.2960984923935489,0.2877381541901113,0.09415449143477195
9,0.862500329229931,0.6975436640193479,0.750130474156153
10,0.06515748378968544,0.06506543146065158,0.009807453892297199
11,0.295349862976346,0.28705135841808727,0.08984670414251048
12,0.43580466807634,0.4101609139980121,0.19022921243748628
13,0.4141650519013279,0.3920034466447323,0.17996003958024928
14,0.9342664153419658,0.7325768449219215,0.8743539913808586
15,0.42890401067082584,0.4044049676680986,0.18451792062844857
16,0.6397395383865583,0.5647221814367238,0.41744126130016657
17,0.5500053587967769,0.5005242274878892,0.3047400221728776
18,0.4232187524018709,0.3996385884887571,0.18715311108321886
19,0.03207302365454234,0.032062030564206735,0.0074552017936781265
20,0.49922241815253887,0.46150541008066515,0.24999140591940452
21,0.18853690261198164,0.18633429383815717,0.04043016561473803
22,0.18751783644369246,0.18535042364168078,0.03631101444343068
23,0.6740117887180405,0.5876126389112947,0.4624191951443451
24,0.26212329910976806,0.25628045128244403,0.06990480505631369
25,0.1513694831657435,0.15022388597063355,0.024980470274971106
26,0.8044331042873177,0.6665078297741421,0.6535361095442531
27,0.9668962680295271,0.7473372047189462,0.9378050763947291
28,0.45595014772977827,0.4267777290631015,0.21516838761819462
29,0.5334522926115093,0.48801561593744025,0.29213229906013877
30,0.11956239795764356,0.11899591544004012,0.01957140390364979
31,0.5115963712236893,0.4711880805082603,0.26743497948295747
32,0.46453553314712126,0.43377357397212757,0.2159043735599264
33,0.14391559332395232,0.14293017760374543,0.02725301333310206
34,0.9887491980515063,0.7568284739330619,0.9807585228184731
35,0.21464101388663126,0.2114044205352322,0.055177467378864795
36,0.36569171285034563,0.35021756476710153,0.13389671103644515
37,0.9152064999649444,0.7236218390395682,0.847549383102853
38,0.41520342193661075,0.39288189589727773,0.17809855215323353
39,0.041385139966094164,0.04136152895403875,0.006850024543808171
40,0.8153809299325302,0.6725479584232225,0.6729390838225683
41,0.4432158283484403,0.41630648650603824,0.20140242063645564
42,0.5949364949070343,0.53343669557646,0.35574146950877633
